month,class,geometry
Jan,presence,"c(-68.65083, 43.09529)"
Jan,presence,"c(-67.0988, 45.0853)"
Jan,background,"c(-71.0252923293846, 40.9362917663131)"
Jan,background,"c(-68.3928515532197, 42.0879846058852)"
Jan,background,"c(-68.3105877789646, 42.2525121543955)"
Jan,background,"c(-68.4751153274749, 43.7332600909883)"
Jan,background,"c(-69.2154892957712, 41.6766657346095)"
Jan,background,"c(-72.0124576204464, 40.3604453465271)"
Jan,background,"c(-69.2977530700264, 41.8411932831198)"
Jan,background,"c(-71.8479300719361, 39.7023351524859)"
Jan,background,"c(-70.5317096838536, 42.6638310256713)"
Jan,background,"c(-67.5702138106682, 43.0751498969471)"
Jan,background,"c(-66.5007847453512, 44.8849529305604)"
Jan,background,"c(-71.6834025234258, 40.4427091207822)"
Jan,background,"c(-69.2154892957712, 41.7589295088646)"
Jan,background,"c(-68.4751153274749, 42.3347759286507)"
Jan,background,"c(-67.6524775849234, 43.1574136712022)"
Jan,background,"c(-69.4622806185367, 42.8283585741816)"
Jan,background,"c(-68.3105877789646, 41.5944019603543)"
Jan,background,"c(-69.4622806185367, 41.6766657346095)"
Jan,background,"c(-67.7347413591785, 43.9800514137537)"
Jan,background,"c(-68.8041704244955, 42.1702483801404)"
Jan,background,"c(-69.2154892957712, 41.3476106375889)"
Jan,background,"c(-71.7656662976809, 39.4555438297204)"
Jan,background,"c(-68.6396428759852, 41.9234570573749)"
Jan,background,"c(-69.626808167047, 41.7589295088646)"
Jan,background,"c(-72.0947213947015, 40.854027992058)"
Jan,background,"c(-68.3928515532197, 42.2525121543955)"
Jan,background,"c(-68.7219066502403, 43.6509963167331)"
Jan,background,"c(-69.5445443927918, 42.9928861226919)"
Jan,background,"c(-69.626808167047, 42.9928861226919)"
Jan,background,"c(-66.8298398423719, 44.9672167048155)"
Jan,background,"c(-68.4751153274749, 40.7717642178028)"
Jan,background,"c(-68.6396428759852, 42.1702483801404)"
Jan,background,"c(-71.8479300719361, 40.6895004435477)"
